PrimaryKey,NameKey,DescKey,Icon,IconSymbol,Grade,Type,Level,AnimationType,Prefab,CorrectFOV,Range,MoveSpeed,AimTime,Accuracy,AttackType,DamageType,HitEffectGroup,ProjectileCount,AttackPowerStandard,ForceMin,ForceMax,WarheadSpeed,AttackDelay,ReloadTime,MagazineSize,EquipEffectGroup,EquipEffectSelectionCount,UpgradeMaterialKey,ReinforceMaterialKey,LimitbreakMaterialKey00,LimitbreakMaterialKey01,LimitbreakMaterialKey02,LimitbreakMaterialKey03,LimitbreakMaterialKey04,LimitbreakMaterialKey05,LimitbreakMaterialKey06,RecycleMaterialKey00,RecycleMaterialKey01,RecycleMaterialKey02,RecycleMaterialKey03,RecycleMaterialKey04,RecycleMaterialCount00,RecycleMaterialCount01,RecycleMaterialCount02,RecycleMaterialCount03,RecycleMaterialCount04
537989121,1879048235,1895825451,ICON_WEAPON_PISTOL_01_G01,ICON_WEAPON_COMMON,1,1,1,1,ITEM_WEAPON_PISTOL_01_G01,-3,9000,0,0,120,0,1,0,1,125,3,7,45,500,5000,6,4369,1,572329985,572284929,572133377,572133378,572133379,572133380,0,0,0,572272641,572329985,572198913,0,0,25,3,1,0,0
539037697,1879048235,1895825451,ICON_WEAPON_PISTOL_01_G02,ICON_WEAPON_COMMON,2,1,1,1,ITEM_WEAPON_PISTOL_01_G02,-3,9000,0,0,120,0,1,0,1,150,3,7,45,500,5000,6,4385,2,572329985,572284929,572133377,572133378,572133379,572133380,0,0,0,572272641,572329985,572198913,0,0,100,6,1,0,0
540086273,1879048235,1895825451,ICON_WEAPON_PISTOL_01_G03,ICON_WEAPON_COMMON,3,1,1,1,ITEM_WEAPON_PISTOL_01_G03,-3,9000,0,0,120,0,1,0,1,200,3,7,45,500,5000,6,4401,3,572329985,572284929,572133377,572133378,572133379,572133380,0,0,0,572272641,572329985,572198913,0,0,500,10,1,0,0
541134849,1879048235,1895825451,ICON_WEAPON_PISTOL_01_G04,ICON_WEAPON_COMMON,4,1,1,1,ITEM_WEAPON_PISTOL_01_G04,-3,9000,0,0,120,0,1,0,1,275,3,7,45,500,5000,6,4417,4,572329985,572284929,572133377,572133378,572133379,572133380,0,0,0,572272641,572329985,572198913,0,0,1000,15,1,0,0
537993217,1879048522,1895825679,ICON_WEAPON_PISTOL_02_G01,ICON_WEAPON_COMMON,1,1,1,1,ITEM_WEAPON_PISTOL_02_G01,-3,10000,0,0,120,0,1,0,1,141,3,7,45,500,6000,6,4370,1,572329985,572284929,572133377,572133378,572133379,572133380,0,0,0,572272641,572329985,572198913,0,0,25,3,1,0,0
539041793,1879048522,1895825679,ICON_WEAPON_PISTOL_02_G02,ICON_WEAPON_COMMON,2,1,1,1,ITEM_WEAPON_PISTOL_02_G02,-3,10000,0,0,120,0,1,0,1,170,3,7,45,500,6000,6,4386,2,572329985,572284929,572133377,572133378,572133379,572133380,0,0,0,572272641,572329985,572198913,0,0,100,6,1,0,0
540090369,1879048522,1895825679,ICON_WEAPON_PISTOL_02_G03,ICON_WEAPON_COMMON,3,1,1,1,ITEM_WEAPON_PISTOL_02_G03,-3,10000,0,0,120,0,1,0,1,226,3,7,45,500,6000,6,4402,3,572329985,572284929,572133377,572133378,572133379,572133380,0,0,0,572272641,572329985,572198913,0,0,500,10,1,0,0
541138945,1879048522,1895825679,ICON_WEAPON_PISTOL_02_G04,ICON_WEAPON_COMMON,4,1,1,1,ITEM_WEAPON_PISTOL_02_G04,-3,10000,0,0,120,0,1,0,1,311,3,7,45,500,6000,6,4418,4,572329985,572284929,572133377,572133378,572133379,572133380,0,0,0,572272641,572329985,572198913,0,0,1000,15,1,0,0
537997313,1879048603,1895825748,ICON_WEAPON_PISTOL_03_G01,ICON_WEAPON_COMMON,1,1,1,1,ITEM_WEAPON_PISTOL_03_G01,-3,10000,0,0,120,0,1,0,1,133,3,7,45,500,5500,6,4371,1,572329985,572284929,572133377,572133378,572133379,572133380,0,0,0,572272641,572329985,572198913,0,0,25,3,1,0,0
539045889,1879048603,1895825748,ICON_WEAPON_PISTOL_03_G02,ICON_WEAPON_COMMON,2,1,1,1,ITEM_WEAPON_PISTOL_03_G02,-3,10000,0,0,120,0,1,0,1,160,3,7,45,500,5500,6,4387,2,572329985,572284929,572133377,572133378,572133379,572133380,0,0,0,572272641,572329985,572198913,0,0,100,6,1,0,0
540094465,1879048603,1895825748,ICON_WEAPON_PISTOL_03_G03,ICON_WEAPON_COMMON,3,1,1,1,ITEM_WEAPON_PISTOL_03_G03,-3,10000,0,0,120,0,1,0,1,213,3,7,45,500,5500,6,4403,3,572329985,572284929,572133377,572133378,572133379,572133380,0,0,0,572272641,572329985,572198913,0,0,500,10,1,0,0
541143041,1879048603,1895825748,ICON_WEAPON_PISTOL_03_G04,ICON_WEAPON_COMMON,4,1,1,1,ITEM_WEAPON_PISTOL_03_G04,-3,10000,0,0,120,0,1,0,1,293,3,7,45,500,5500,6,4419,4,572329985,572284929,572133377,572133378,572133379,572133380,0,0,0,572272641,572329985,572198913,0,0,1000,15,1,0,0
538001409,1879048604,1895825749,ICON_WEAPON_PISTOL_04_G01,ICON_WEAPON_COMMON,1,1,1,1,ITEM_WEAPON_PISTOL_04_G01,-3,12000,0,0,150,0,1,0,1,150,3,7,45,500,6500,6,4372,1,572329985,572284929,572133377,572133378,572133379,572133380,0,0,0,572272641,572329985,572198913,0,0,25,3,1,0,0
539049985,1879048604,1895825749,ICON_WEAPON_PISTOL_04_G02,ICON_WEAPON_COMMON,2,1,1,1,ITEM_WEAPON_PISTOL_04_G02,-3,12000,0,0,150,0,1,0,1,180,3,7,45,500,6500,6,4388,2,572329985,572284929,572133377,572133378,572133379,572133380,0,0,0,572272641,572329985,572198913,0,0,100,6,1,0,0
540098561,1879048604,1895825749,ICON_WEAPON_PISTOL_04_G03,ICON_WEAPON_COMMON,3,1,1,1,ITEM_WEAPON_PISTOL_04_G03,-3,12000,0,0,150,0,1,0,1,240,3,7,45,500,6500,6,4404,3,572329985,572284929,572133377,572133378,572133379,572133380,0,0,0,572272641,572329985,572198913,0,0,500,10,1,0,0
541147137,1879048604,1895825749,ICON_WEAPON_PISTOL_04_G04,ICON_WEAPON_COMMON,4,1,1,1,ITEM_WEAPON_PISTOL_04_G04,-3,12000,0,0,150,0,1,0,1,330,3,7,45,500,6500,6,4420,4,572329985,572284929,572133377,572133378,572133379,572133380,0,0,0,572272641,572329985,572198913,0,0,1000,15,1,0,0
538005505,1879048605,1895825750,ICON_WEAPON_PISTOL_05_G01,ICON_WEAPON_COMMON,1,1,1,1,ITEM_WEAPON_PISTOL_05_G01,-3,11500,0,0,130,0,1,0,1,40,1,5,40,150,4000,15,4373,1,572329985,572284929,572133377,572133378,572133379,572133380,0,0,0,572272641,572329985,572198913,0,0,25,3,1,0,0
539054081,1879048605,1895825750,ICON_WEAPON_PISTOL_05_G02,ICON_WEAPON_COMMON,2,1,1,1,ITEM_WEAPON_PISTOL_05_G02,-3,11500,0,0,130,0,1,0,1,48,1,5,40,150,4000,15,4389,2,572329985,572284929,572133377,572133378,572133379,572133380,0,0,0,572272641,572329985,572198913,0,0,100,6,1,0,0
540102657,1879048605,1895825750,ICON_WEAPON_PISTOL_05_G03,ICON_WEAPON_COMMON,3,1,1,1,ITEM_WEAPON_PISTOL_05_G03,-3,11500,0,0,130,0,1,0,1,65,1,5,40,150,4000,15,4405,3,572329985,572284929,572133377,572133378,572133379,572133380,0,0,0,572272641,572329985,572198913,0,0,500,10,1,0,0
