PrimaryKey,NameKey,DescKey,RewardExp,RewardPassExp,MaxCountRevive,ReviveItemKey,ReviveItemCount,Episode,Order,Type,StandardLevel,BoostItemKey,BoostItemCount,RewardGroup,BoostRewardGroup
873464065,1879048468,1895825673,20,10,5,572268545,20,1,1,1,5,572461057,1,1114353,1114369
873464066,1879048468,1895825673,20,10,5,572268545,20,1,2,1,10,572461057,1,1114353,1114369
873464067,1879048468,1895825673,20,10,5,572268545,20,1,3,1,15,572461057,1,1114353,1114369
873464068,1879048468,1895825673,20,10,5,572268545,20,1,4,1,20,572461057,1,1114353,1114369
873464069,1879048468,1895825673,20,10,5,572268545,20,1,5,1,25,572461057,1,1114353,1114369
873464070,1879048468,1895825673,20,10,5,572268545,20,1,6,1,30,572461057,1,1114353,1114369
873464071,1879048468,1895825673,20,10,5,572268545,20,1,7,1,35,572461057,1,1114353,1114369
873464072,1879048468,1895825673,20,10,5,572268545,20,1,8,1,40,572461057,1,1114353,1114369
873464073,1879048468,1895825673,20,10,5,572268545,20,1,9,1,45,572461057,1,1114353,1114369
873464074,1879048468,1895825673,20,10,5,572268545,20,1,10,1,50,572461057,1,1114353,1114369
873464321,1879048469,1895825674,30,10,5,572268545,20,2,1,1,85,572461057,1,1114353,1114369
873464322,1879048469,1895825674,30,10,5,572268545,20,2,2,1,90,572461057,1,1114353,1114369
873464323,1879048469,1895825674,30,10,5,572268545,20,2,3,1,95,572461057,1,1114353,1114369
873464324,1879048469,1895825674,30,10,5,572268545,20,2,4,1,100,572461057,1,1114353,1114369
873464325,1879048469,1895825674,30,10,5,572268545,20,2,5,1,105,572461057,1,1114353,1114369
873464326,1879048469,1895825674,30,10,5,572268545,20,2,6,1,110,572461057,1,1114353,1114369
873464327,1879048469,1895825674,30,10,5,572268545,20,2,7,1,115,572461057,1,1114353,1114369
873464328,1879048469,1895825674,30,10,5,572268545,20,2,8,1,120,572461057,1,1114353,1114369
873464329,1879048469,1895825674,30,10,5,572268545,20,2,9,1,125,572461057,1,1114353,1114369
873464330,1879048469,1895825674,30,10,5,572268545,20,2,10,1,130,572461057,1,1114353,1114369
873464577,1879048470,1895825675,40,10,5,572268545,20,3,1,1,165,572461057,1,1114353,1114369
873464578,1879048470,1895825675,40,10,5,572268545,20,3,2,1,170,572461057,1,1114353,1114369
873464579,1879048470,1895825675,40,10,5,572268545,20,3,3,1,175,572461057,1,1114353,1114369
873464580,1879048470,1895825675,40,10,5,572268545,20,3,4,1,180,572461057,1,1114353,1114369
873464581,1879048470,1895825675,40,10,5,572268545,20,3,5,1,185,572461057,1,1114353,1114369
873464582,1879048470,1895825675,40,10,5,572268545,20,3,6,1,190,572461057,1,1114353,1114369
873464583,1879048470,1895825675,40,10,5,572268545,20,3,7,1,195,572461057,1,1114353,1114369
873464584,1879048470,1895825675,40,10,5,572268545,20,3,8,1,200,572461057,1,1114353,1114369
873464585,1879048470,1895825675,40,10,5,572268545,20,3,9,1,205,572461057,1,1114353,1114369
873464586,1879048470,1895825675,40,10,5,572268545,20,3,10,1,210,572461057,1,1114353,1114369
873464833,1879048471,1895825676,50,10,5,572268545,20,4,1,1,245,572461057,1,1114353,1114369
873464834,1879048471,1895825676,50,10,5,572268545,20,4,2,1,250,572461057,1,1114353,1114369
873464835,1879048471,1895825676,50,10,5,572268545,20,4,3,1,255,572461057,1,1114353,1114369
873464836,1879048471,1895825676,50,10,5,572268545,20,4,4,1,260,572461057,1,1114353,1114369
873464837,1879048471,1895825676,50,10,5,572268545,20,4,5,1,265,572461057,1,1114353,1114369
873464838,1879048471,1895825676,50,10,5,572268545,20,4,6,1,270,572461057,1,1114353,1114369
873464839,1879048471,1895825676,50,10,5,572268545,20,4,7,1,275,572461057,1,1114353,1114369
873464840,1879048471,1895825676,50,10,5,572268545,20,4,8,1,280,572461057,1,1114353,1114369
873464841,1879048471,1895825676,50,10,5,572268545,20,4,9,1,285,572461057,1,1114353,1114369
873464842,1879048471,1895825676,50,10,5,572268545,20,4,10,1,290,572461057,1,1114353,1114369
873465089,1879048472,1895825677,50,10,5,572268545,20,5,1,1,325,572461057,1,1114353,1114369
873465090,1879048472,1895825677,50,10,5,572268545,20,5,2,1,330,572461057,1,1114353,1114369
873465091,1879048472,1895825677,50,10,5,572268545,20,5,3,1,335,572461057,1,1114353,1114369
873465092,1879048472,1895825677,50,10,5,572268545,20,5,4,1,340,572461057,1,1114353,1114369
873465093,1879048472,1895825677,50,10,5,572268545,20,5,5,1,345,572461057,1,1114353,1114369
873465094,1879048472,1895825677,50,10,5,572268545,20,5,6,1,350,572461057,1,1114353,1114369
873465095,1879048472,1895825677,50,10,5,572268545,20,5,7,1,355,572461057,1,1114353,1114369
873465096,1879048472,1895825677,50,10,5,572268545,20,5,8,1,360,572461057,1,1114353,1114369
873465097,1879048472,1895825677,50,10,5,572268545,20,5,9,1,365,572461057,1,1114353,1114369
873465098,1879048472,1895825677,50,10,5,572268545,20,5,10,1,370,572461057,1,1114353,1114369
873465345,1879048473,1895825678,50,10,5,572268545,20,6,1,1,405,572461057,1,1114353,1114369
873465346,1879048473,1895825678,50,10,5,572268545,20,6,2,1,410,572461057,1,1114353,1114369
873465347,1879048473,1895825678,50,10,5,572268545,20,6,3,1,415,572461057,1,1114353,1114369
873465348,1879048473,1895825678,50,10,5,572268545,20,6,4,1,420,572461057,1,1114353,1114369
873465349,1879048473,1895825678,50,10,5,572268545,20,6,5,1,425,572461057,1,1114353,1114369
873465350,1879048473,1895825678,50,10,5,572268545,20,6,6,1,430,572461057,1,1114353,1114369
873465351,1879048473,1895825678,50,10,5,572268545,20,6,7,1,435,572461057,1,1114353,1114369
873465352,1879048473,1895825678,50,10,5,572268545,20,6,8,1,440,572461057,1,1114353,1114369
873465353,1879048473,1895825678,50,10,5,572268545,20,6,9,1,445,572461057,1,1114353,1114369
873465354,1879048473,1895825678,50,10,5,572268545,20,6,10,1,450,572461057,1,1114353,1114369
873465601,1879048749,1895825871,50,10,5,572268545,20,7,1,1,485,572461057,1,1114353,1114369
873465602,1879048749,1895825871,50,10,5,572268545,20,7,2,1,490,572461057,1,1114353,1114369
873465603,1879048749,1895825871,50,10,5,572268545,20,7,3,1,495,572461057,1,1114353,1114369
873465604,1879048749,1895825871,50,10,5,572268545,20,7,4,1,500,572461057,1,1114353,1114369
873465605,1879048749,1895825871,50,10,5,572268545,20,7,5,1,505,572461057,1,1114353,1114369
873465606,1879048749,1895825871,50,10,5,572268545,20,7,6,1,510,572461057,1,1114353,1114369
873465607,1879048749,1895825871,50,10,5,572268545,20,7,7,1,515,572461057,1,1114353,1114369
873465608,1879048749,1895825871,50,10,5,572268545,20,7,8,1,520,572461057,1,1114353,1114369
873465609,1879048749,1895825871,50,10,5,572268545,20,7,9,1,525,572461057,1,1114353,1114369
873465610,1879048749,1895825871,50,10,5,572268545,20,7,10,1,530,572461057,1,1114353,1114369
